Video,Frame rate (fps),Mean luminance,Mean RMS contrast,Mean flow magnitude
control_0.mp4,30.0,104.42,48.05,0.79
control_1.mp4,30.0,80.42,46.74,0.21
control_2.mp4,30.0,122.12,38.00,0.13
human_left_0_f.mp4,30.0,133.09,31.81,0.16
human_left_0_m.mp4,30.0,131.19,39.71,0.19
human_left_1_f.mp4,30.0,132.56,32.08,0.20
human_left_1_m.mp4,30.0,130.79,39.63,0.20
human_left_2_f.mp4,30.0,132.33,31.78,0.19
human_left_2_m.mp4,30.0,130.88,40.29,0.20
human_left_3_f.mp4,30.0,133.01,31.90,0.21
human_left_3_m.mp4,30.0,130.93,39.93,0.19
human_left_4_f.mp4,30.0,132.97,32.17,0.17
human_left_4_m.mp4,30.0,131.01,40.15,0.15
human_right_0_f.mp4,30.0,135.84,32.00,0.15
human_right_0_m.mp4,30.0,131.20,39.45,0.19
human_right_1_f.mp4,30.0,133.40,32.06,0.17
human_right_1_m.mp4,30.0,131.17,39.21,0.18
human_right_2_f.mp4,30.0,132.23,31.95,0.16
human_right_2_m.mp4,30.0,130.50,39.92,0.18
human_right_3_f.mp4,30.0,133.69,31.77,0.17
human_right_3_m.mp4,30.0,131.08,39.93,0.22
human_right_4_f.mp4,30.0,133.86,32.29,0.15
human_right_4_m.mp4,30.0,130.75,40.30,0.15
obj_0.mp4,30.0,132.53,32.31,0.15
obj_1.mp4,30.0,133.80,33.93,0.24
obj_2.mp4,30.0,131.88,38.99,0.19
obj_3.mp4,30.0,131.39,38.98,0.16
obj_4.mp4,30.0,130.90,37.89,0.19
robot_left_0.mp4,30.0,101.51,27.01,0.16
robot_left_1.mp4,30.0,102.10,27.12,0.13
robot_left_2.mp4,30.0,102.38,27.11,0.13
robot_left_3.mp4,30.0,102.24,26.99,0.15
robot_left_4.mp4,30.0,102.42,27.33,0.12
robot_right_0.mp4,30.0,101.52,26.98,0.12
robot_right_1.mp4,30.0,102.12,27.10,0.11
robot_right_2.mp4,30.0,102.41,27.09,0.12
robot_right_3.mp4,30.0,102.27,26.96,0.13
robot_right_4.mp4,30.0,102.45,27.30,0.09
