Video,Frame rate (fps),Mean lumi,Lumi 5th,Lumi 50th,Lumi 95th,Mean contrast,Contrast 5th,Contrast 50th,Contrast 95th,Mean flow,Flow 5th,Flow 50th,Flow 95th,Mean edge_density,Edge 5th,Edge 50th,Edge 95th
control_0.mp4,30.0,104.42,102.21,104.69,106.95,48.05,47.65,48.05,48.45,0.79,0.00,0.95,1.94,0.01,0.01,0.01,0.01
control_1.mp4,30.0,80.42,79.54,80.50,81.03,46.74,46.56,46.71,46.94,0.21,0.00,0.31,0.41,0.13,0.12,0.13,0.14
control_2.mp4,30.0,122.12,121.94,122.15,122.22,38.00,37.84,37.96,38.28,0.13,0.00,0.18,0.33,0.03,0.03,0.03,0.04
human_left_0_f.mp4,30.0,133.09,131.88,133.20,133.92,31.81,31.30,31.56,32.93,0.16,0.04,0.17,0.28,0.00,0.00,0.00,0.00
human_left_0_m.mp4,30.0,131.19,130.39,131.20,131.93,39.71,39.25,39.60,40.53,0.19,0.07,0.19,0.33,0.00,0.00,0.00,0.00
human_left_1_f.mp4,30.0,132.56,131.59,132.44,133.51,32.08,31.17,32.43,32.80,0.20,0.07,0.20,0.35,0.00,0.00,0.00,0.00
human_left_1_m.mp4,30.0,130.79,129.95,130.86,131.35,39.63,39.17,39.47,40.31,0.20,0.07,0.22,0.33,0.00,0.00,0.00,0.00
human_left_2_f.mp4,30.0,132.33,131.37,132.37,132.99,31.78,30.89,31.46,32.89,0.19,0.07,0.19,0.33,0.00,0.00,0.00,0.00
human_left_2_m.mp4,30.0,130.88,129.25,131.35,131.63,40.29,39.44,39.80,41.77,0.20,0.08,0.21,0.36,0.00,0.00,0.00,0.00
human_left_3_f.mp4,30.0,133.01,131.51,132.84,135.13,31.90,31.21,32.01,32.77,0.21,0.04,0.22,0.40,0.00,0.00,0.00,0.00
human_left_3_m.mp4,30.0,130.93,129.44,131.29,132.03,39.93,39.29,39.62,40.98,0.19,0.08,0.17,0.36,0.00,0.00,0.00,0.00
human_left_4_f.mp4,30.0,132.97,132.09,132.70,133.89,32.17,31.27,32.38,33.06,0.17,0.07,0.19,0.26,0.00,0.00,0.00,0.01
human_left_4_m.mp4,30.0,131.01,130.30,130.86,131.81,40.15,39.61,40.00,40.90,0.15,0.07,0.17,0.24,0.00,0.00,0.00,0.00
human_right_0_f.mp4,30.0,135.84,134.32,135.80,137.45,32.00,31.02,32.13,33.05,0.15,0.07,0.15,0.25,0.00,0.00,0.00,0.01
human_right_0_m.mp4,30.0,131.20,130.33,131.19,132.02,39.45,38.76,39.31,40.47,0.19,0.07,0.19,0.32,0.00,0.00,0.00,0.00
human_right_1_f.mp4,30.0,133.40,131.70,133.05,135.33,32.06,30.76,32.61,32.92,0.17,0.07,0.18,0.28,0.00,0.00,0.00,0.00
human_right_1_m.mp4,30.0,131.17,130.33,131.27,132.00,39.21,38.39,39.08,40.06,0.18,0.07,0.20,0.30,0.00,0.00,0.00,0.00
human_right_2_f.mp4,30.0,132.23,131.10,132.36,133.38,31.95,30.77,32.22,33.01,0.16,0.03,0.18,0.28,0.00,0.00,0.00,0.00
human_right_2_m.mp4,30.0,130.50,128.66,131.16,131.58,39.92,39.09,39.43,41.42,0.18,0.07,0.19,0.33,0.00,0.00,0.00,0.00
human_right_3_f.mp4,30.0,133.69,132.38,133.80,134.63,31.77,30.93,31.76,32.90,0.17,0.07,0.16,0.31,0.00,0.00,0.00,0.01
human_right_3_m.mp4,30.0,131.08,129.54,131.07,132.59,39.93,38.60,39.99,41.04,0.22,0.07,0.20,0.46,0.00,0.00,0.00,0.00
human_right_4_f.mp4,30.0,133.86,132.85,133.67,134.79,32.29,31.06,32.73,33.33,0.15,0.07,0.17,0.22,0.00,0.00,0.00,0.01
human_right_4_m.mp4,30.0,130.75,129.60,130.73,131.81,40.30,39.37,40.29,41.28,0.15,0.07,0.16,0.25,0.00,0.00,0.00,0.00
obj_0.mp4,30.0,132.53,131.85,132.67,133.21,32.31,31.56,32.21,33.19,0.15,0.07,0.12,0.30,0.00,0.00,0.01,0.01
obj_1.mp4,30.0,133.80,131.91,133.11,136.33,33.93,33.17,33.60,35.57,0.24,0.07,0.25,0.46,0.01,0.00,0.01,0.01
obj_2.mp4,30.0,131.88,130.41,132.12,132.97,38.99,37.31,38.83,40.49,0.19,0.07,0.15,0.47,0.00,0.00,0.00,0.00
obj_3.mp4,30.0,131.39,130.96,131.39,131.97,38.98,37.83,38.79,39.85,0.16,0.07,0.15,0.30,0.00,0.00,0.00,0.00
obj_4.mp4,30.0,130.90,130.02,130.96,131.81,37.89,36.82,37.84,38.63,0.19,0.07,0.14,0.39,0.00,0.00,0.00,0.00
robot_left_0.mp4,30.0,101.51,101.22,101.42,102.19,27.01,26.78,26.99,27.36,0.16,0.05,0.12,0.38,0.00,0.00,0.00,0.01
robot_left_1.mp4,30.0,102.10,101.88,102.02,102.59,27.12,26.66,27.07,28.08,0.13,0.05,0.13,0.30,0.00,0.00,0.00,0.01
robot_left_2.mp4,30.0,102.38,102.14,102.42,102.62,27.11,26.68,27.08,27.49,0.13,0.03,0.15,0.22,0.00,0.00,0.00,0.01
robot_left_3.mp4,30.0,102.24,102.08,102.25,102.45,26.99,26.66,27.05,27.31,0.15,0.02,0.16,0.27,0.00,0.00,0.00,0.01
robot_left_4.mp4,30.0,102.42,102.26,102.45,102.55,27.33,26.81,27.42,27.68,0.12,0.05,0.10,0.25,0.01,0.00,0.01,0.01
robot_right_0.mp4,30.0,101.52,101.24,101.44,102.22,26.98,26.74,26.94,27.33,0.12,0.03,0.08,0.33,0.00,0.00,0.00,0.01
robot_right_1.mp4,30.0,102.12,101.92,102.02,102.64,27.10,26.64,27.05,28.05,0.11,0.03,0.11,0.27,0.00,0.00,0.00,0.01
robot_right_2.mp4,30.0,102.41,102.17,102.45,102.65,27.09,26.66,27.07,27.45,0.12,0.02,0.14,0.20,0.00,0.00,0.00,0.01
robot_right_3.mp4,30.0,102.27,102.08,102.27,102.47,26.96,26.63,27.01,27.29,0.13,0.01,0.14,0.22,0.00,0.00,0.00,0.01
robot_right_4.mp4,30.0,102.45,102.29,102.50,102.56,27.30,26.80,27.39,27.63,0.09,0.04,0.06,0.24,0.00,0.00,0.01,0.01
